127.0.0.1 - - [31/Jan/2022:14:36:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:36:02 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:36:07 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:36:10 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:37:24 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:38:18 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:40:15 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:44:26 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:44:33 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:44:36 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:44:37 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:49:02 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:49:35 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:51:49 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:51:51 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:52:34 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:52:35 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:54:56 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:14:58:05 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:15:00:37 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:15:00:47 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:15:00:56 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:15:00:59 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:15:05:33 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:15:11:08 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [31/Jan/2022:15:11:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Jan/2022:15:12:48 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [31/Jan/2022:15:13:04 +0530] "GET /TorryHarrisWeb/MyFile.html HTTP/1.1" 200 220
